Date,HCLTECH,HINDALCO,ULTRACEMCO,UPL,JSWSTEEL,HDFCLIFE,NESTLEIND,TATACONSUM,TATASTEEL,GRASIM,KOTAKBANK,HDFC,HDFCBANK,ICICIBANK,DRREDDY,ADANIENT,BHARTIARTL,INFY,BRITANNIA,SBIN,AXISBANK,WIPRO,SBILIFE,LT,TECHM,BAJAJFINSV,TATAMOTORS,APOLLOHOSP,ONGC,BAJFINANCE,TITAN,BAJAJ-AUTO,M&M,ADANIPORTS,INDUSINDBK,BPCL,COALINDIA,RELIANCE,HINDUNILVR,DIVISLAB,TCS,HEROMOTOCO,SUNPHARMA,ASIANPAINT,CIPLA,POWERGRID,ITC,MARUTI,NTPC,EICHERMOT
4/4/2018,428.9815979,194.2504578,3808.267334,460.6821289,253.426178,490.815918,7676.270508,259.2760925,22.74555397,1031.078979,1075.986938,1682.955566,913.1885986,260.8780518,1979.464111,81.33135986,354.6514282,495.3751526,2266.697266,241.2723694,490.8922119,206.7135468,672.9349365,1183.056763,520.5914917,521.9250488,355.6000061,1049.312866,129.171936,1829.934937,880.2316284,2363.449219,721.3872681,356.7763367,1753.156616,306.2331543,175.3721313,867.5224609,1252.058594,1056.468994,1306.088745,3058.141357,478.4545898,1097.951294,556.5266113,111.5838242,211.6038666,8545.042969,104.4218674,2588.25415
4/5/2018,430.2337036,207.1649933,3891.962158,476.0591736,264.1765747,492.8946228,7706.789063,261.9144592,23.55303955,1065.047607,1115.901123,1702.693848,925.6264038,270.5887451,1998.109985,93.49125671,353.6190186,505.6643372,2286.299072,252.9798584,501.7122803,210.1269684,668.0360718,1212.858032,530.0793457,543.4168091,362.2000122,1065.786011,130.6816559,1894.618774,895.5129395,2399.464844,738.5983276,364.6820374,1789.791382,311.768158,177.4481049,880.4156494,1274.887085,1077.612915,1327.199463,3154.043457,483.5035095,1104.620239,547.2967529,111.6976242,212.463028,8657.953125,105.9265747,2654.762451
4/6/2018,426.0299683,207.0198975,3875.183838,473.7007446,264.0052185,491.3108521,7672.503418,261.6266479,23.82693481,1055.655151,1116.799072,1706.940186,932.6573486,272.5308838,2011.07666,94.69269562,345.5842896,496.6089478,2336.104736,253.3701172,498.8203125,208.4385986,672.6380615,1201.677002,530.8092041,547.4494629,364.1000061,1058.508545,130.3134308,1916.377686,915.2229004,2380.880371,736.0714111,367.9316101,1777.319946,320.255188,176.170578,883.1300049,1268.061768,1073.326294,1323.766968,3151.791748,488.31427,1105.199829,545.9294434,111.5268784,213.4449463,8727.730469,106.2400436,2665.622314
4/9/2018,426.2982788,214.1301727,3844.472656,472.4428711,265.0331726,487.0050049,7704.949707,266.5195007,23.78433228,1049.717651,1115.851196,1714.126221,940.2460938,272.7250977,2007.716797,93.0486145,341.40979,489.6687927,2329.180176,254.2969666,517.8676147,209.2460785,671.697876,1212.036743,527.9327393,555.1408691,358.2999878,1043.559692,131.3812866,1922.954712,935.0302124,2368.960449,749.6591797,366.0400696,1812.347046,332.3583679,175.3082428,887.9769897,1283.557373,1088.353394,1311.921631,3167.844971,486.6471863,1118.682617,543.7807007,111.4699707,217.4953766,8809.685547,106.3654633,2666.212402
4/10/2018,424.1517639,222.4980316,3857.228027,472.7574158,266.7035217,498.4377441,7812.358887,264.3129578,24.42342186,1053.0271,1111.260986,1696.207764,931.4208984,280.4451294,1999.056396,93.42802429,346.1229248,490.6161194,2316.255127,256.8823547,544.6435547,209.9434509,688.5223999,1232.117065,537.8930054,540.3271484,353.25,1068.343384,132.7068787,1904.954224,936.5875244,2363.83374,741.4588623,375.6433411,1800.508911,332.948761,179.4282837,888.9949341,1283.465088,1101.646484,1318.068848,3100.797119,484.1703796,1118.006226,545.1480713,112.0960464,218.2318115,8791.483398,105.581749,2681.088623
4/11/2018,432.5815735,226.5610199,3850.80127,468.8895264,267.4316101,494.6763,7791.446289,262.7299194,24.67297363,1040.179199,1123.684326,1691.44812,930.4511108,276.3180542,1988.266602,91.40454102,345.8984985,495.3972168,2316.750977,250.7847137,538.3110352,209.7232361,711.5820313,1234.718384,543.817627,541.0559692,355.7999878,1091.208984,134.1429596,1903.569458,953.8154907,2354.520264,752.3289795,366.5735779,1808.108765,307.9674377,181.0251617,902.3727417,1299.744751,1081.417847,1352.415771,3118.351074,496.7449951,1117.136475,548.4199829,112.1244965,216.963501,8819.022461,105.644455,2744.873047
4/12/2018,451.6995544,225.0132141,3799.436279,470.3675232,264.0480652,494.5278625,7939.071289,262.7299194,24.28140068,1036.042603,1132.166016,1706.986694,935.2758789,278.4544678,1950.217896,86.06128693,341.3200378,512.2960815,2329.157227,247.6139374,547.2363281,210.5673981,711.6314697,1239.008179,560.5179443,541.1109009,358.3999939,1058.213501,133.8483887,1908.21814,950.0195313,2361.056641,751.2324219,361.1900024,1810.106201,308.9638062,179.8115387,900.2885132,1303.065308,1079.635864,1408.546753,3126.773682,491.4580078,1126.173096,543.1946411,111.7545624,214.3450623,8726.070313,106.2714005,2744.555176
4/13/2018,443.2920532,230.0436096,3805.961426,469.8643494,264.2622375,494.7257996,7985.535645,264.3129578,24.10489082,1035.26416,1148.630737,1717.765991,933.4332275,279.9110107,1978.091919,88.14798737,339.2552185,516.1957397,2349.932129,244.8333893,541.0534668,215.9261169,704.3078613,1236.635132,576.6174927,530.734314,357.0499878,1064.458496,134.4007111,1893.382202,960.8234863,2380.709473,752.9011841,371.6177368,1813.516357,299.1852417,182.0471802,910.1279297,1301.036011,1103.428589,1414.851074,3107.134766,488.6953125,1123.273438,542.5597534,112.4090881,213.3631134,8649.753906,107.1805115,2804.618652
4/16/2018,447.1604309,231.6397858,3843.295166,480.2415161,264.6048279,489.7270813,8042.43457,268.2944031,24.00547409,1063.246948,1169.585571,1745.623779,941.7250366,279.2798462,1989.922852,89.00165558,338.1330566,499.3408813,2396.602295,242.9309235,540.9038696,212.8063049,701.5862427,1248.729004,574.1704102,537.6569214,339.1499939,1075.719482,133.6642456,1922.015381,954.3508301,2425.227051,764.2003784,375.8858948,1816.780273,301.2515869,182.7498169,908.3829956,1309.291138,1130.159424,1430.26355,3171.555908,494.7921448,1139.366089,571.3237305,113.3766556,216.3907166,8752.1875,109.1554642,2799.810303
4/17/2018,452.1243591,231.5914154,3843.540527,476.4365234,264.8190002,486.3121033,8285.286133,269.5416565,24.18604469,1065.53418,1162.351196,1763.589355,944.8284302,283.3097534,1992.857056,88.21122742,342.9808655,495.8157043,2410.023926,242.1016235,530.9315186,209.0258636,713.9572754,1240.925293,573.8269043,541.6448364,336.4500122,1065.540283,133.1487427,1913.855591,970.994751,2447.357666,771.7331543,371.908783,1818.923706,303.0597229,183.7079926,915.3627319,1333.318848,1137.191406,1420.818604,3143.077393,487.8856201,1136.61145,566.4402466,116.6208649,218.9682617,8684.261719,110.942337,2775.510498
4/18/2018,445.7964783,234.8804932,3917.227783,476.4679871,265.504303,488.1433105,8250.035156,272.5637207,24.41124916,1063.684814,1151.474487,1752.390137,937.1185303,281.6589661,1989.165649,86.47229004,344.9558716,496.1463013,2418.843262,240.4430695,516.8204956,214.8249817,713.9077759,1241.427002,563.9525757,536.2294922,334.7999878,1058.311768,134.1061249,1905.745361,951.0414429,2445.520508,761.1968384,373.412262,1796.270752,299.0376587,182.1110687,909.3039551,1337.884277,1131.748901,1417.453369,3117.058838,487.7426758,1133.035645,570.9819336,116.6777802,225.3098145,8647.430664,111.9455032,2761.761719
